Country,Year,Season,MAX_T_AVG,MEAN_T_AVG,MIN_T_AVG
RM,1975,WINTER,28.99367088607596,27.211875,25.568152866242027
RM,1976,SUMMER,29.565727699530516,27.674418604651166,25.700000000000003
RM,1976,WINTER,28.787195121951232,27.036526946107788,25.48711656441717
RM,1977,SUMMER,30.332673267326722,28.207920792079207,25.417821782178216
RM,1977,WINTER,29.49126984126984,27.390624999999996,25.548412698412697
RM,1978,SUMMER,30.347328244274784,28.099236641221363,25.251908396946558
RM,1978,WINTER,29.780508474576266,27.892436974789923,25.538135593220332
RM,1979,SUMMER,30.914814814814797,28.327777777777776,25.116666666666667
RM,1979,WINTER,30.16495726495727,27.772649572649584,24.65726495726495
RM,1980,SUMMER,31.067999999999973,28.439999999999994,24.903999999999993
RM,1980,WINTER,30.56736842105263,28.11684210526317,25.048421052631568
RM,1981,SUMMER,30.942708333333318,28.064583333333346,24.911458333333325
RM,1981,WINTER,30.543298969072158,27.900000000000006,25.09381443298969
RM,1982,SUMMER,30.580701754385935,27.912280701754383,24.914035087719306
RM,1982,WINTER,29.787155963302745,27.28348623853211,24.8256880733945
RM,1983,SUMMER,30.799999999999976,28.079333333333324,24.755999999999986
RM,1983,WINTER,29.931730769230764,26.978846153846153,24.02788461538461
RM,1984,SUMMER,30.82758620689652,27.861206896551728,24.475
RM,1984,WINTER,30.503906249999975,27.801562500000006,24.83906249999999
RM,1985,SUMMER,30.219075144508658,27.59826589595376,24.334104046242782
RM,1985,WINTER,30.447407407407386,27.64,24.813333333333336
RM,1986,SUMMER,30.94025157232703,27.981132075471702,24.479245283018862
RM,1986,WINTER,30.346987951807225,27.790361445783127,24.471084337349392
RM,1987,SUMMER,30.561481481481454,28.091851851851857,25.00222222222222
RM,1987,WINTER,29.878676470588243,27.516911764705878,24.83676470588235
RM,1988,SUMMER,30.50254237288132,28.14491525423729,25.056779661016936
RM,1988,WINTER,30.159999999999986,27.850769230769234,24.957692307692305
RM,1989,SUMMER,30.650485436893163,28.088349514563102,24.964077669902913
RM,1989,WINTER,30.307920792079187,27.982178217821794,25.195049504950493
RM,1990,SUMMER,30.087982832618003,28.176824034334768,25.76995708154505
RM,1990,WINTER,30.029370629370607,27.910489510489512,25.22727272727272
RM,1991,SUMMER,29.62187499999999,27.91995192307692,25.733894230769234
RM,1991,WINTER,28.916923076923084,27.40923076923077,25.62384615384615
RM,1992,SUMMER,29.48870431893686,27.864784053156143,25.81428571428571
RM,1992,WINTER,28.5242718446602,26.95857605177994,25.286407766990287
RM,1993,SUMMER,29.336301369862998,27.88869863013698,26.027054794520552
RM,1993,WINTER,28.426241134751777,27.039716312056733,25.46312056737589
RM,1994,SUMMER,29.36225165562913,27.9430463576159,26.193377483443708
RM,1994,WINTER,28.76135593220339,27.374576271186438,25.800687285223354
RM,1995,SUMMER,29.43079470198675,27.878145695364246,25.981063122923587
RM,1995,WINTER,28.97208480565371,27.609540636042396,26.145583038869248
RM,1996,SUMMER,29.08412017167382,27.97768240343348,26.569098712446355
RM,1996,WINTER,28.953688524590167,27.722950819672125,26.372950819672123
RM,1997,SUMMER,29.776623376623377,27.977705627705628,26.021861471861474
RM,1997,WINTER,29.199775280898876,27.671235955056183,26.16629213483146
RM,1998,SUMMER,29.33940397350994,27.74105960264901,26.051324503311253
RM,1998,WINTER,28.763055555555553,27.170833333333334,25.841666666666665
RM,1999,SUMMER,28.61045751633986,26.95359477124184,24.808496732026146
RM,1999,WINTER,28.836416184971096,27.40115606936416,25.880924855491326
RM,2000,SUMMER,29.221621621621615,27.4464864864865,25.241621621621622
RM,2000,WINTER,29.048837209302324,27.246511627906994,25.118604651162787
RM,2001,SUMMER,29.647368421052633,27.89578947368419,25.81473684210527
RM,2001,WINTER,28.961235955056182,27.365168539325833,25.510674157303374
RM,2002,SUMMER,30.23372093023256,28.147674418604645,25.754651162790694
RM,2002,WINTER,29.448108108108098,27.75405405405406,25.93243243243243
RM,2003,SUMMER,34.4896174863388,32.69239130434782,30.615846994535513
RM,2003,WINTER,32.398360655737704,30.605464480874307,28.669230769230765
RM,2004,SUMMER,33.2663829787234,30.99276595744681,28.492796610169496
RM,2004,WINTER,33.35734597156398,31.568867924528295,29.531455399061038
RM,2005,SUMMER,29.69945652173913,27.830978260869568,25.67065217391304
RM,2005,WINTER,32.33841807909605,30.658333333333335,28.575555555555542
RM,2006,SUMMER,30.30564263322884,28.228526645768024,26.021003134796242
RM,2006,WINTER,29.7675,27.782499999999995,25.57833333333333
RM,2007,SUMMER,30.252363636363636,28.36290909090909,26.104000000000003
RM,2007,WINTER,30.02262773722628,27.868613138686126,25.68248175182481
RM,2008,SUMMER,30.002173913043475,27.889855072463767,25.74347826086957
RM,2008,WINTER,30.25714285714286,27.663003663003657,25.16190476190476
RM,2009,SUMMER,30.785483870967745,28.580213903743317,26.04171122994652
RM,2009,WINTER,30.263333333333332,27.394444444444446,24.244999999999997
RM,2010,SUMMER,30.24436363636364,28.010181818181817,25.881454545454545
RM,2010,WINTER,29.685555555555556,27.21740740740741,25.031851851851854
RM,2011,SUMMER,30.02533783783784,27.922635135135135,25.836824324324322
RM,2011,WINTER,29.764157706093187,27.614336917562724,25.448745519713256
RM,2012,SUMMER,30.193827160493825,27.347154471544705,25.26065573770492
RM,2012,WINTER,29.903238866396762,27.687449392712555,25.593117408906878
RM,2013,SUMMER,30.470270270270266,28.241621621621604,26.467027027027026
RM,2013,WINTER,30.355801104972375,28.193922651933704,26.751381215469607
RM,2014,SUMMER,30.701485148514852,28.445049504950497,26.4990099009901
RM,2014,WINTER,30.29375,28.154166666666665,26.4953125
RM,2015,SUMMER,30.520430107526888,28.35806451612902,26.595698924731174
RM,2015,WINTER,30.262295081967213,28.136612021857918,26.57814207650274
RM,2016,SUMMER,30.977419354838716,28.692473118279576,26.77204301075269
RM,2016,WINTER,30.097448979591835,27.964795918367344,26.261734693877546
RM,2017,SUMMER,30.814332247556997,28.485667752442996,26.40228013029316
RM,2017,WINTER,30.141694915254234,28.065084745762714,26.250169491525426
RM,2018,SUMMER,30.663309352517985,28.228057553956834,26.374460431654672
RM,2018,WINTER,30.112996389891695,28.010469314079426,26.28880866425993
RM,2019,SUMMER,30.76832740213523,28.532384341637023,26.555160142348747
RM,2019,WINTER,30.08908450704226,28.121830985915487,26.50035211267606
RM,2020,SUMMER,30.85114006514657,28.545276872964163,26.45993485342019
RM,2020,WINTER,30.264379084967324,28.294117647058822,26.55130718954248
RM,2021,SUMMER,31.039931740614332,28.392832764505116,26.367235494880543
RM,2021,WINTER,29.99867109634552,27.996013289036537,26.184717607973422
RO,1952,SUMMER,28.450375939849625,21.93627819548872,15.544736842105262
RO,1952,WINTER,3.889242424242425,0.7826546003016589,-1.9306184012066365
RO,1953,SUMMER,27.203620689655175,21.069999999999997,15.080172413793104
RO,1953,WINTER,2.2836734693877556,-1.3486413043478265,-4.629234972677595
RO,1954,SUMMER,26.35410526315789,20.521894736842107,15.122736842105267
RO,1954,WINTER,-2.019809523809524,-5.738140417457306,-9.460687022900762
RO,1955,SUMMER,25.003010752688176,19.474193548387095,14.474193548387097
RO,1955,WINTER,4.363157894736842,0.7617977528089888,-2.3287054409005625
RO,1956,SUMMER,26.76499321573948,20.677883310719128,14.787381275440977
RO,1956,WINTER,1.0407967032967032,-2.356575342465754,-5.471349862258953
RO,1957,SUMMER,25.922352941176467,20.49627450980392,15.196078431372547
RO,1957,WINTER,2.303989361702128,-1.0584880636604774,-4.1126835781041375
RO,1958,SUMMER,25.513396481732073,19.771524966261808,14.24035087719298
RO,1958,WINTER,4.707630522088353,0.8827540106951872,-2.392751677852349
RO,1959,SUMMER,24.683078602620093,19.246943231441048,14.16670305676856
RO,1959,WINTER,2.3893665158371045,-0.852762119503946,-3.948419864559819
RO,1960,SUMMER,24.707692307692305,19.13893581081081,13.665426880811497
RO,1960,WINTER,4.0148590947907765,0.527777777777778,-2.7582408198121264
RO,1961,SUMMER,25.046029035012808,19.1933390264731,13.467036720751496
RO,1961,WINTER,1.9222984562607202,-1.4120719178082195,-4.552188841201716
RO,1962,SUMMER,24.915600350569672,19.118580192813322,13.422456140350876
RO,1962,WINTER,1.105042735042735,-2.070145423438837,-5.171122536418167
RO,1963,SUMMER,26.698910310142498,20.706202849958085,14.748154362416104
RO,1963,WINTER,-1.6127677806341048,-5.092202227934876,-8.976394849785407
RO,1964,SUMMER,25.021104815864014,19.478131634819533,14.19277108433735
RO,1964,WINTER,0.6556064073226545,-2.7689916603487488,-6.354274809160304
RO,1965,SUMMER,24.052159090909093,18.520272572402042,13.175014196479271
RO,1965,WINTER,1.9355627009646301,-1.1525064267352185,-4.156370656370657
RO,1966,SUMMER,24.168582755203175,18.77404655770184,13.83077304261645
