Country,Month,Slope,R2,p
BC,7,-0.09395075107348388,0.13296629425012235,0.009995314220332955
BC,8,-0.11461134602923785,0.14586377054077376,0.0067705172165071085
BC,9,-0.14854021210534377,0.14713675559950581,0.006514272286748137
BC,10,-0.07446000559346803,0.08110598828835865,0.04977195730562654
BC,11,-0.08458579659677865,0.0892956805014156,0.037007069838550004
BC,12,-0.05739379305314039,0.05570159943678355,0.10255538104085957
BD,1,0.07645239103460146,0.5480985038605612,4.240430129706526e-15
BD,2,0.06887846601736097,0.5136264800277779,7.691367111767467e-14
BD,3,0.06646268220273208,0.584048520915474,1.6223876031157661e-16
BD,4,0.04947562030829211,0.3415231013721095,1.5644147809092996e-08
BD,5,0.048706964757272216,0.4717352852073377,2.781409424759817e-12
BD,6,0.05868505190890797,0.3709018817175235,2.596758585318687e-09
BD,7,0.06110675699632916,0.49510143982107246,4.76273369128759e-13
BD,8,0.08728652298073032,0.4815516932390812,1.8697564254225203e-12
BD,9,0.08345100331323735,0.5200617381950928,6.606285859968146e-14
BD,10,0.0801082724683379,0.4855810132836333,1.3845347825019064e-12
BD,11,0.06487173763680748,0.5020871564824739,1.9402639873727153e-13
BD,12,0.05750343159089552,0.3729372234431565,1.416184678608927e-09
BE,1,0.034320414352287956,0.2795295090009011,1.6735900857304404e-05
BE,2,0.03067568542827735,0.22594559777633905,0.00014213104276435611
BE,3,0.019448896467464113,0.10380322529886525,0.012826558578525094
BE,4,0.015845377581388265,0.1071889625788778,0.011368574359267932
BE,5,0.022390516408519277,0.1691852670931156,0.0012106445724472433
BE,6,0.029150146923344486,0.24744974280426119,5.264191617149717e-05
BE,7,0.02778356502773845,0.1656340463120981,0.0013795267693157975
BE,8,0.035894086716435396,0.2427598214968993,6.357296349841723e-05
BE,9,0.02306930332117811,0.11871980627130367,0.0075324509926932666
BE,10,0.024140570885703833,0.14928657247173993,0.0025057861874984476
BE,11,0.0214320223230562,0.11324588042277567,0.009159478884564436
BE,12,0.03621260747009151,0.27406058213976947,2.0945952604042672e-05
BF,1,0.058751751608742124,0.11841561949663358,0.003535442393656442
BF,2,0.053578141797277275,0.1634897893242205,0.000517500273947247
BF,3,0.049557957379454905,0.13092057309318167,0.0020854866418141046
BF,4,0.05702618878252177,0.2271116595772328,3.04001411620391e-05
